id,type,domain,enabled,date_added,date_modified,comment
1,0,sc.natwest.com,1,1633330289,1633330289,"Added from Query Log"
2,0,dpm.demdex.net,1,1633330300,1633330300,"Added from Query Log"
3,0,outlook.office365.com,1,1633330655,1633330655,"Added from Query Log"
4,0,s3.amazonaws.com,1,1633330678,1633330678,"Added from Query Log"
5,0,news.iadsdk.apple.com,1,1633330681,1633330681,"Added from Query Log"
6,0,login.microsoftonline.com,1,1633330685,1633330685,"Added from Query Log"
7,0,login.live.com,1,1633330690,1633330690,"Added from Query Log"
8,0,www.googletagmanager.com,1,1633330806,1633330806,"Added from Query Log"
10,0,ctldl.windowsupdate.com,1,1633331365,1633331365,"Added from Query Log"
11,0,fonts.gstatic.com,1,1633335921,1633335921,"Added from Query Log"
12,0,www.googleapis.com,1,1633335927,1633335927,"Added from Query Log"
13,2,(\.|^)github\.com$,1,1633423813,1633423813,GitHub
15,2,(\.|^)microsoft\.com$,1,1633428213,1633428213,
16,2,(\.|^)microsoftonline\.com$,1,1633428246,1633428246,
17,2,(\.|^)bbc\.co\.uk$,1,1633428267,1633428267,
18,0,creativecdn.com,1,1633447651,1633447651,"Added from Query Log"
19,0,dns.msftncsi.com,1,1633473847,1633473847,"Added from Query Log"
21,0,clients2.google.com,1,1633473857,1633473857,"Added from Query Log"
22,0,nexusrules.officeapps.live.com,1,1633473863,1633473863,"Added from Query Log"
23,0,title.mgt.xboxlive.com,1,1633506365,1633506365,"Added from Query Log"
24,0,device.auth.xboxlive.com,1,1633507723,1633507723,"Added from Query Log"
